Occupation,Sex,Age,Residency_in_Dormitory,Number_of_Family_Members,Parent_Cohabitation_Status,Mother_Education,Father_Education,Mother_Job_Category,Father_Job_Category,Criminal_Records,Legal_Guardian,Average_Sport_Activity_Per_Week,Average_Studying_Per_Week,Average_Grades_Previous_Semester,Having_Scholarship,Financial_Support_Parents,Using_Extracurricular_Classes,Having_Extracurricular_Activities,History_Mental_Illness,Willingness_to_Studying,History_Physical_Illness,Marital_Status_Relationship,Relationship_Quality_Family,Free_Time_After_Classes,Communication_Quality_Classmates,Alcohol_Consumption_Week,Alcohol_Consumption_Weekend,Number_of_Absences,Average_Student_Final_Grades,Academic_Performance
3,1,23,1,6,1,2,2,3,3,0,2,116.43831471351524,19.242599993595213,15.675400789184744,0,1,1,1,0,4,0,1,1,363.2508890573423,3,2,6,7,13.33,2
2,0,21,0,5,1,2,2,2,2,0,1,81.13874090652959,21.185178120980297,10.075069971527135,1,0,0,0,0,3,0,0,5,278.4833796471738,2,3,9,5,9.94,1
3,1,24,1,6,1,3,3,4,4,0,2,282.5954138245088,17.53673800098473,16.19308309680224,1,0,0,1,0,4,0,1,4,397.90676547715503,4,2,7,5,14.72,3
2,0,22,1,5,1,2,2,3,3,0,2,164.1956589659425,12.119065594203295,13.126436327382015,1,1,0,1,0,3,0,0,4,317.3719510166715,3,3,8,6,11.49,2
3,1,24,1,7,1,3,3,4,4,0,3,184.72697432815468,16.512604152409835,15.098345568264476,0,1,1,1,0,4,0,1,4,417.5546128543349,4,2,1,1,15.5,3
3,1,24,1,6,1,3,3,4,4,0,2,80.26762696505803,5.20484190244551,16.808768420277296,0,1,1,1,0,4,0,1,2,382.4176730690231,4,2,2,5,14.1,3
3,1,24,1,6,1,3,3,4,4,0,2,141.8932092832372,36.21669198442643,14.179368218173337,1,1,1,1,0,4,0,1,1,402.80237561940754,4,2,8,2,14.91,3
3,1,24,1,6,1,3,3,4,4,0,2,187.76458127969062,8.123904012620832,17.767807694879703,0,1,0,1,0,4,0,1,4,398.96438468928636,4,2,6,6,14.76,3
3,1,23,1,6,1,3,3,3,3,0,2,99.4304495804388,9.744269729222564,16.665866951799533,0,1,0,1,0,4,0,1,3,379.2529666258246,3,2,6,5,13.97,2
3,1,24,1,6,1,3,3,4,4,0,2,206.29886128419705,14.477926364908797,15.380880080222127,0,1,0,1,0,4,0,1,1,391.34409732961325,4,2,3,2,14.45,3
2,0,22,1,5,1,2,2,3,3,0,2,137.95529170568363,28.30460579881902,9.809513789988218,0,0,1,1,0,3,0,0,4,327.5297909325012,3,3,0,3,11.9,2
3,1,24,1,7,1,3,3,4,4,0,3,159.58143751447062,18.116071994101233,18.031389330938822,1,1,1,1,0,4,0,1,1,421.0547623884465,4,2,7,5,15.64,1
4,1,25,1,7,1,3,3,4,4,0,3,137.8805371439422,8.1109136317563,19.230867023837792,0,1,0,1,0,5,0,1,5,437.49398837601166,4,1,9,3,16.3,3
2,0,21,0,5,1,2,2,2,2,0,1,309.65947291562566,28.034706886058714,9.643581485711538,1,1,1,0,0,3,0,0,3,266.8167070648385,2,3,8,10,9.47,1
3,1,23,1,6,1,2,2,3,3,0,2,179.05519426834462,23.84800501428385,13.858893553201167,1,0,0,1,0,4,0,0,0,338.74797390895117,3,2,3,8,12.35,2
2,0,22,1,5,1,2,2,3,3,0,2,105.96023497308697,22.30747965773162,11.106664903646054,0,1,1,1,1,3,0,0,4,329.77871469790085,3,3,0,4,11.99,2
3,1,24,1,6,1,3,3,4,4,0,2,237.57814384722323,23.725873929366724,17.054279689106774,0,1,1,1,0,4,0,1,3,400.7880470565443,4,2,8,8,14.83,3
4,1,25,1,7,1,3,3,4,4,0,3,94.54094450202844,37.15489520465961,16.6595556320564,1,1,0,1,0,5,0,1,2,456.6321033721632,4,1,4,3,17.07,4
2,0,22,1,5,1,2,2,3,3,0,2,194.62045165033288,35.4807591602889,9.690621446844784,0,1,1,1,0,3,0,0,5,323.3706770932973,3,3,5,5,11.73,2
4,1,25,1,7,1,3,3,4,4,0,3,42.8230913284157,12.506277255973638,18.524327255139646,1,1,0,1,0,5,0,1,4,447.8232000666052,4,1,1,4,16.71,3
2,0,22,1,5,1,2,2,3,3,0,2,87.02697657710986,30.99107994248922,10.171676767736027,1,1,0,1,0,3,0,0,0,306.8833296804729,3,3,4,4,11.08,2
4,1,25,1,7,1,3,3,4,4,0,3,193.78028651083864,21.065345518071204,17.56710830777729,0,1,1,1,0,5,0,1,5,449.33377107580316,4,1,0,6,16.77,3
3,1,23,1,6,1,2,2,3,3,0,2,231.69266059967873,21.992766529101996,13.483764315536058,1,0,0,1,0,4,0,0,3,333.78981456232344,3,2,2,10,12.15,2
2,0,22,1,5,1,2,2,3,3,0,2,191.99577968329794,4.461833346853371,11.939267522697815,0,1,0,1,0,3,0,0,5,318.7601770882406,3,3,0,4,11.55,2
2,0,21,0,5,1,2,2,2,2,0,1,171.90462023282316,16.636913876894432,9.898871152090562,0,1,1,0,0,3,0,0,3,274.0608808963848,2,3,0,8,9.76,1
2,0,21,0,4,1,1,1,2,2,0,1,158.92274130874978,11.497411277307481,10.011371073759552,1,1,1,0,0,3,0,0,1,234.59589443570164,2,3,8,8,8.18,1
3,1,24,1,6,1,3,3,4,4,0,2,76.50346067428008,24.624470519146474,15.942686656410803,1,1,0,1,0,4,0,1,4,401.63222494392807,4,2,5,6,14.87,3
3,1,23,1,6,1,2,2,3,3,0,2,129.61090541237039,26.56864400322244,14.605164655365446,0,1,0,1,1,4,0,1,0,356.9312390580614,3,2,7,5,13.08,2
1,0,20,0,4,0,1,1,2,2,0,1,147.75528603281487,1.4041091918695088,9.465025059814792,0,0,1,0,0,2,1,0,2,229.99793751117326,2,4,4,5,8.0,1
2,0,21,0,4,1,1,1,2,2,0,1,253.9985558353241,17.823721087965836,9.352374325259902,0,0,0,0,1,3,0,0,1,230.72403707269189,2,3,8,7,8.03,1
2,0,22,1,5,1,2,2,2,2,0,2,204.0532802697923,26.974892038354017,8.867726897273497,0,1,1,0,0,3,0,0,4,292.467909876031,2,3,3,5,10.5,1
3,1,23,1,6,1,2,2,3,3,0,2,56.58718912460863,16.50656830149244,16.925208168482527,0,1,0,1,1,4,0,1,0,362.0837999254868,3,2,9,6,13.28,2
3,1,23,1,6,1,3,3,3,3,0,2,202.68587785763566,23.832509160018915,16.54258502275147,0,0,0,1,0,4,0,1,1,377.3115205361851,3,2,7,8,13.89,2
2,0,21,0,4,1,1,1,2,2,0,1,153.04424037085784,20.809323741016673,8.701171890254901,0,1,0,0,0,3,0,0,0,234.49062504044173,2,3,5,7,8.18,1
3,1,23,1,6,1,2,2,3,3,0,2,132.6154599785829,20.733281855621012,14.723240907163675,1,1,0,1,0,4,0,1,5,364.98864223247915,3,2,9,6,13.4,2
2,0,21,0,4,1,1,1,2,2,0,1,222.81734021886075,15.82948017545362,9.01611386291228,0,1,1,0,0,3,0,0,0,245.74566076932499,2,3,4,6,8.63,1
3,1,24,1,7,1,3,3,4,4,0,3,252.16996657471657,8.267353566914323,18.844949247307298,0,1,0,1,0,4,0,1,1,429.24398509358724,4,2,4,4,15.97,3
4,1,25,1,7,1,3,3,4,4,0,3,245.1896083381339,9.02775882059978,18.88540903016159,1,1,0,1,0,5,0,1,1,454.7427425551141,4,1,2,2,16.99,3
4,1,25,1,7,1,3,3,4,4,0,3,121.2547733744153,23.67482011564254,16.37879587775756,1,1,1,1,0,5,0,1,4,432.03251885159654,4,1,3,4,16.08,3
4,1,25,1,7,1,3,3,4,4,0,3,158.355133690415,18.155666044151065,19.114267057273402,1,1,0,1,1,5,0,1,1,446.11400962608263,4,1,9,2,16.64,3
3,1,24,1,7,1,3,3,4,4,0,3,203.18844019824948,16.891902043142203,17.73743636496429,0,1,0,1,0,4,0,1,5,422.21634469306605,4,2,4,7,15.69,3
3,1,24,1,7,1,3,3,4,4,0,3,248.28815889856514,14.608879661421179,17.942462911124593,0,0,0,1,0,4,0,1,4,427.85099493057845,4,2,8,3,15.91,3
3,1,23,1,6,1,2,2,3,3,0,2,146.4578033508297,15.558489236153985,14.836494206839198,0,1,0,1,0,4,0,1,0,356.7927488120426,3,2,9,2,13.07,2
3,1,23,1,6,1,2,2,3,3,0,2,167.0038716335328,26.375294355905115,11.672710378594111,0,0,0,1,0,4,0,0,1,331.48035932684604,3,2,2,4,12.06,2
2,0,22,1,5,1,2,2,3,3,0,2,102.55655181957803,15.318047345055787,10.613589381397059,0,1,0,0,0,3,0,0,4,295.3125863323128,3,3,4,4,10.61,1
2,0,22,1,5,1,2,2,3,3,0,2,96.26553631435304,7.27148229358745,11.92640026446715,0,0,0,0,0,3,0,0,4,298.0530908118256,3,3,8,2,10.72,1
3,1,24,1,7,1,3,3,4,4,0,3,236.87680756759386,23.949214204321386,15.541945161068744,0,1,1,1,0,4,0,1,2,407.13689558071803,4,2,0,6,15.09,3
2,0,22,1,5,1,2,2,2,2,0,2,274.9368019999576,16.360986689082264,10.071878429988788,0,1,0,0,0,3,0,0,4,290.21381433475244,2,3,4,5,10.41,4
2,0,22,1,5,1,2,2,3,3,0,2,174.95929148937662,18.25116692426221,11.10368283964786,0,1,1,1,0,3,0,0,4,320.47303756315756,3,3,3,4,11.62,2
3,1,24,1,6,1,3,3,4,4,0,2,250.2473028524417,30.860626451196083,13.616730353545574,0,0,1,1,0,4,0,1,2,388.770928624883,4,2,0,5,14.35,3
2,0,22,1,5,1,2,2,3,3,0,2,205.3145217533344,17.835515541195942,10.796601182295387,0,1,0,1,0,3,0,0,3,318.1372691350242,3,3,0,4,11.53,2
3,1,24,1,6,1,3,3,4,4,0,2,134.8416171776413,20.3134693849498,15.06372403659274,0,0,0,1,0,4,0,1,5,403.6749793348355,4,2,6,1,14.95,3
3,1,24,1,7,1,3,3,4,4,0,3,205.29769238558896,8.568612069613398,19.078112341475958,0,0,0,1,0,4,0,1,1,424.2672704245076,4,2,5,4,15.77,3
3,1,24,1,6,1,3,3,4,4,0,2,287.66255965261786,16.24264438119232,16.977072388437517,0,1,0,1,0,4,0,1,2,398.31784778981114,4,2,0,9,14.73,3
3,1,24,1,7,1,3,3,4,4,0,3,177.4921772623034,22.87620836166881,15.997119369786956,0,1,1,1,0,4,0,1,4,415.51940755802735,4,2,3,5,15.42,3
3,1,23,1,6,1,2,2,3,3,0,2,289.52505590698047,5.557010129270061,14.992657711805345,0,0,1,1,0,4,0,1,4,358.26979219538816,3,2,6,4,13.13,2
2,0,22,1,5,1,2,2,3,3,0,2,0.0,19.606760744925676,13.855374911084779,0,1,1,1,0,3,0,0,1,320.59886038364067,3,3,5,8,11.62,2
2,0,22,1,5,1,2,2,2,2,0,2,237.53317530626566,18.80632858115845,10.238766315615916,1,1,1,0,0,3,0,0,5,291.7525492143729,2,3,9,5,10.47,1
4,1,25,1,7,1,3,3,4,4,0,3,186.093294776672,18.330299644699515,18.736525465122387,0,1,0,1,0,5,0,1,0,437.7058736214792,4,1,1,6,16.31,3
2,0,22,1,5,1,2,2,3,3,0,2,159.06948546738928,26.297271189265945,10.982432024154036,0,1,0,1,0,3,0,0,2,320.1268895488111,3,3,8,2,11.61,2
2,0,21,0,5,1,2,2,2,2,0,1,186.42325435748515,20.675508118788173,9.095706530937928,1,1,0,0,0,3,0,0,3,260.4440887164179,2,3,9,5,9.22,1
4,1,25,1,7,1,3,3,4,4,0,3,40.87017597793749,29.824575186851554,17.000182150744344,0,1,1,1,0,5,0,1,1,432.1975358470331,4,1,2,5,16.09,3
2,0,21,0,5,1,2,2,2,2,0,1,164.62296785137417,10.05128387524771,10.107386411973996,0,1,1,0,0,3,0,0,1,277.38564492315754,2,3,1,4,9.9,1
3,1,23,1,6,1,2,2,3,3,0,2,204.99788000582225,19.087396537746784,12.462751994494113,0,1,0,1,0,4,0,0,2,354.06381847117694,3,2,0,3,12.96,2
2,0,22,1,5,1,2,2,2,2,0,2,283.4525831319061,18.67573429111958,8.339419139491756,1,1,0,0,0,3,0,0,4,280.323098470524,2,3,2,4,10.01,1
2,0,21,0,5,1,2,2,2,2,0,1,143.7210847208447,9.44596404995936,9.644815310485377,0,1,0,0,0,3,0,0,4,257.25694357462595,2,3,5,5,9.09,1
2,0,21,0,5,1,2,2,2,2,0,1,123.40544779747687,25.65036001673077,10.078443569118946,0,1,1,0,0,3,0,0,3,271.6524183221362,2,3,9,7,9.67,1
2,0,22,1,5,1,2,2,3,3,0,2,144.87700694908244,36.59738644682254,8.652921533002136,0,1,1,1,0,3,0,0,2,306.91205112744075,3,3,0,5,11.08,2
3,1,23,1,6,1,3,3,3,3,0,2,244.0781482391452,17.863951404129352,15.879883479474142,0,1,0,1,0,4,0,1,1,377.88302650750865,3,2,1,8,13.92,2
4,1,25,1,7,1,3,3,4,4,0,3,203.0125776761779,22.040168706190137,18.044093549637406,0,1,0,1,0,5,0,1,2,432.52508882248065,4,1,8,4,16.1,3
3,1,23,1,6,1,2,2,3,3,0,2,142.91678573630728,18.676147806522618,12.479784876391292,1,1,0,1,0,4,0,0,0,333.10464148140557,3,2,0,5,12.12,2
4,1,25,1,7,1,3,3,4,4,0,3,215.92872031793493,12.291322640742592,18.49491772061841,0,1,0,1,0,5,0,1,1,461.39561971482755,4,1,0,1,17.26,4
2,0,21,0,4,1,1,1,2,2,0,1,186.79542845436282,3.4339177775838703,10.560158894721518,0,0,1,0,1,3,0,0,3,242.99989980317474,2,3,8,5,8.52,1
2,0,22,1,5,1,2,2,3,3,0,2,247.80514933730223,12.353812135237078,11.904685082734874,0,1,0,0,0,3,0,0,3,303.7782034403607,3,3,2,7,10.95,1
2,0,21,0,5,1,2,2,2,2,0,1,130.85628342858533,6.86433295238615,9.80884391637402,0,1,1,0,0,3,0,0,1,256.79138345956665,2,3,5,3,9.07,1
3,1,24,1,7,1,3,3,4,4,0,3,157.06364973815622,31.632816624472945,15.446710345027984,1,1,0,1,0,4,0,1,4,421.2423926724663,4,2,2,6,15.65,3
2,0,22,1,5,1,2,2,3,3,0,2,152.55242928074898,17.079122448614086,13.038435090443683,0,1,0,1,0,3,0,0,1,305.4104443372758,3,3,1,10,11.02,2
3,1,23,1,6,1,3,3,3,3,0,2,77.55395363075169,15.232645367622634,15.359400162102784,0,1,0,1,0,4,0,1,1,376.0706806286427,3,2,2,4,13.84,2
3,1,24,1,7,1,3,3,4,4,0,3,200.72841939452033,25.113230598302447,17.140098864730202,0,1,1,1,0,4,0,1,0,406.5905086106267,4,2,9,5,15.06,3
2,0,22,1,5,1,2,2,3,3,0,2,198.27386905259226,9.025991177152896,14.548436192395382,0,1,1,1,0,3,0,0,1,327.9460616694352,3,3,3,8,11.92,2
3,1,23,1,6,1,3,3,3,3,0,2,180.35794196497227,11.865087695963581,15.531564258821454,0,0,0,1,0,4,0,1,5,377.58476581478146,3,2,0,7,13.9,2
4,1,25,1,7,1,3,3,4,4,0,3,163.57890066373972,18.54457815398897,19.223003772731996,1,0,0,1,0,5,0,1,5,438.57741560546555,4,1,2,10,16.34,3
2,0,22,1,5,1,2,2,3,3,0,2,80.92404805647101,26.230151931387844,11.588771715306118,0,1,0,1,0,3,0,0,2,327.14169442189865,3,3,6,3,11.89,2
3,1,23,1,6,1,2,2,3,3,0,2,150.55482740642486,22.013480361350304,12.309967263607437,1,1,0,1,0,4,0,0,2,342.8052959766951,3,2,1,5,12.51,2
3,1,24,1,6,1,3,3,4,4,0,2,156.00998384312612,19.986601140127057,16.612440340512045,1,1,1,1,0,4,0,1,3,390.86915332033453,4,2,6,8,14.43,3
3,1,24,1,6,1,3,3,4,4,0,2,123.84059115448667,18.62494188188813,15.33566620466464,1,1,0,1,0,4,0,1,4,386.4107535435667,4,2,3,6,14.26,3
2,0,22,1,5,1,2,2,2,2,0,2,168.71000018337935,21.2018868442142,10.142394854476578,0,1,0,0,1,3,0,0,3,280.18134980451407,2,3,6,5,10.01,1
3,1,23,1,6,1,2,2,3,3,0,2,208.2835599770177,19.61322324103404,12.513767720125882,0,1,1,1,0,4,0,1,0,356.849387106627,3,2,2,1,13.07,2
2,0,22,1,5,1,2,2,3,3,0,2,312.03301308473715,9.760221801784514,13.614056157496579,1,1,0,1,1,3,0,0,1,324.0003135672304,3,3,6,5,11.76,4
3,1,23,1,6,1,2,2,3,3,0,2,192.22044689822872,18.36863377306521,13.032678055620671,1,1,0,1,0,4,0,0,3,342.2084273884786,3,2,9,3,12.49,2
2,0,21,0,5,1,2,2,2,2,0,1,198.0285273505935,9.41049072865798,10.139297699864489,1,1,0,0,0,3,0,0,1,276.7953032938284,2,3,6,2,9.87,1
4,1,25,1,7,1,3,3,5,5,0,3,174.7887858963683,18.64866034320659,19.093161101411148,0,1,1,1,0,5,0,1,3,469.5396210214834,5,1,2,4,17.58,4
3,1,23,1,6,1,2,2,3,3,0,2,45.686014929067085,14.154816468094069,17.14782514032771,0,1,1,1,1,4,0,0,1,354.7664556339881,3,2,5,10,12.99,2
3,1,24,1,6,1,3,3,4,4,0,2,178.1440287185548,38.31505298226289,13.776269985294228,1,1,0,1,0,4,0,1,3,394.74591395306294,4,2,8,4,14.59,3
3,1,24,1,7,1,3,3,4,4,0,3,184.21611469587185,17.680844929986304,16.16073233968204,0,1,1,1,0,4,0,1,5,415.3151352715708,4,2,6,3,15.41,3
4,1,25,1,7,1,3,3,4,4,0,3,352.42694787397,6.76608346990729,18.76739206562626,0,0,0,1,0,5,0,1,5,442.7548494145527,4,1,4,4,16.51,3
2,0,22,1,5,1,2,2,3,3,0,2,166.5347324653214,16.926558314584604,9.634089708338855,0,1,1,0,0,3,0,0,5,303.6143530241868,3,3,0,4,10.94,1
2,0,22,1,5,1,2,2,2,2,0,2,201.10831396335288,22.154869965103103,11.004476608483731,0,0,1,0,0,3,0,0,2,283.50465970923983,2,3,7,7,10.14,1
3,1,24,1,6,1,3,3,4,4,0,2,177.57017612063296,31.38691156922019,14.51241496707974,0,1,1,1,0,4,0,1,0,401.6839737926925,4,2,3,3,14.87,3
3,1,24,1,7,1,3,3,4,4,0,3,98.19253736663276,13.284380800490252,17.588124456228304,0,1,1,1,0,4,0,1,3,429.0739379460157,4,2,1,4,15.96,3
1,0,20,0,4,0,1,1,2,2,0,1,259.99759701605143,5.34057620781088,8.435058745298328,0,1,0,0,0,2,1,0,2,220.34575879436682,2,4,8,4,7.61,1
4,1,26,1,8,1,4,4,5,5,0,3,232.6353122880742,24.53469609144785,19.808217802356324,0,1,1,1,0,5,0,1,4,502.83119657134256,5,1,2,4,18.91,4
2,0,22,1,5,1,2,2,3,3,0,2,235.3722362930133,6.955210352802791,13.458879234588766,0,1,1,0,0,3,0,0,3,300.8733205766546,3,3,5,9,10.83,1
2,0,22,1,5,1,2,2,3,3,0,2,116.34287816436827,14.51075646794012,12.310773687460676,0,1,0,1,0,3,0,0,1,306.8185617857966,3,3,2,6,11.07,2
2,0,22,1,5,1,2,2,3,3,0,2,278.19560176552693,15.939036115912048,11.512693254077263,1,1,1,1,0,3,0,0,0,319.0798180674026,3,3,6,2,11.56,2
2,0,21,0,5,1,2,2,2,2,0,1,81.87042560454034,17.442932373599135,10.09228049181046,0,1,1,0,0,3,0,0,2,267.1148685859451,2,3,1,8,9.48,1
4,1,25,1,7,1,3,3,4,4,0,3,221.0799965660189,23.513315656594685,17.498886907160333,0,1,0,1,0,5,0,1,2,436.057938397947,4,1,3,5,16.24,3
4,1,25,1,7,1,3,3,4,4,0,3,333.33189380669853,12.530925741708899,19.464969976953157,1,1,0,1,0,5,0,1,0,431.84470878107123,4,1,9,5,16.07,3
2,0,22,1,5,1,2,2,3,3,0,2,110.66245724085182,15.810165982665914,12.963737058144778,1,1,1,0,0,3,0,0,3,304.94101299521236,3,3,8,8,11.0,2
3,1,24,1,7,1,3,3,4,4,0,3,140.35915892780596,17.88583717640489,19.429048337041475,0,1,1,1,0,4,0,1,1,428.5693108662815,4,2,7,7,15.94,3
3,1,24,1,7,1,3,3,4,4,0,3,186.9755955561349,19.196783660150306,17.88557138522041,0,1,1,1,0,4,0,1,4,424.23606050897234,4,2,7,6,15.77,3
2,0,22,1,5,1,2,2,3,3,0,2,144.75670421186607,18.78261739766338,13.77261352971582,0,0,1,1,0,3,0,0,3,322.8852476845691,3,3,7,8,11.72,2
3,1,24,1,6,1,3,3,4,4,0,2,71.45355982537072,21.488046201780637,16.088314149513593,0,1,1,1,0,4,0,1,0,394.7162675694095,4,2,6,3,14.59,3
3,1,23,1,6,1,3,3,3,3,0,2,184.79940823642193,24.750716077133898,13.219810150045555,1,1,1,1,0,4,0,1,3,368.0148009596163,3,2,5,4,13.52,2
3,1,23,1,6,1,3,3,3,3,0,2,105.63874003917266,21.141072925207745,14.70468089855063,1,0,0,1,0,4,0,1,3,370.47918322145915,3,2,7,4,13.62,2
2,0,21,0,5,1,2,2,2,2,0,1,213.1514701444627,21.62868418807375,8.696556044222046,1,1,1,0,1,3,0,0,0,263.38866987990696,2,3,6,3,9.34,1
3,1,23,1,6,1,3,3,3,3,0,2,115.64030360363378,5.342214666028179,16.3551617036064,0,1,0,1,1,4,0,1,0,378.7927907443974,3,2,0,3,13.95,2
2,0,21,0,5,1,2,2,2,2,0,1,288.49540835122775,18.401821593325444,8.633895733809641,0,1,0,0,0,3,0,0,4,278.0355158891746,2,3,5,3,9.92,1
4,1,25,1,7,1,3,3,4,4,0,3,125.1722695364634,21.836060384012868,17.805019363035793,1,1,0,1,0,5,0,1,0,441.61839331919606,4,1,7,1,16.46,3
3,1,24,1,7,1,3,3,4,4,0,3,157.4556938656027,23.831529556563602,17.89936315352669,0,1,0,1,0,4,0,1,0,422.6715844189252,4,2,4,6,15.71,3
2,0,22,1,5,1,2,2,2,2,0,2,236.9462052158769,12.461193806129646,10.844927450674575,0,1,0,0,0,3,0,0,0,286.8280970628238,2,3,5,3,10.27,1
3,1,23,1,6,1,2,2,3,3,0,2,93.83949784962313,12.72768580089084,11.883953372429604,1,1,0,1,0,4,0,0,2,337.6130404592954,3,2,1,1,12.3,2
3,1,23,1,6,1,2,2,3,3,0,2,195.92219542228906,13.407194597731213,13.77572454269952,0,1,0,1,1,4,0,0,0,348.89871715552493,3,2,1,3,12.76,2
3,1,24,1,6,1,3,3,4,4,0,2,271.49999279977,22.291311199130746,15.159954883189778,0,1,0,1,0,4,0,1,0,403.11186967076014,4,2,1,3,14.92,3
2,0,22,1,5,1,2,2,2,2,0,2,67.47617358071408,26.271048439393667,11.44824394090396,1,1,0,0,0,3,0,0,0,284.37670414461815,2,3,5,9,10.18,1
3,1,24,1,6,1,3,3,4,4,0,2,192.9243700972613,14.740319141667188,15.1098368555831,0,0,1,1,0,4,0,1,4,381.32050287647434,4,2,4,4,14.05,3
2,0,22,1,5,1,2,2,3,3,0,2,198.19179559738964,25.263698509016393,11.573444878751587,0,0,1,1,1,3,0,0,3,318.772600716623,3,3,5,5,11.55,2
2,0,21,0,4,1,1,1,2,2,0,1,234.72760102441174,18.987838473316753,8.665888652852729,0,1,1,0,0,3,0,0,0,249.78543489316738,2,3,5,5,8.79,1
1,0,20,0,4,0,1,1,2,2,0,1,93.41345023853427,17.00571378270051,8.030330597982907,0,1,0,0,0,2,1,0,0,217.05516382281098,2,4,3,7,7.48,1
2,0,21,0,4,1,1,1,2,2,0,1,87.56803708410065,16.30892616145625,9.213812695021144,0,1,1,0,0,3,0,0,4,247.5140952274274,2,3,6,7,8.7,1
4,1,25,1,7,1,3,3,4,4,0,3,216.53590959318285,23.972890916817256,17.507008401968218,0,1,0,1,0,5,0,1,3,431.6095842802615,4,1,8,4,16.06,3
4,1,25,1,7,1,3,3,4,4,0,3,200.78892712632302,20.60462253429656,19.537175748600045,0,0,0,1,0,5,0,1,4,455.10537720483444,4,1,6,6,17.0,4
3,1,24,1,6,1,3,3,4,4,0,2,197.53449952421136,36.2066034211811,13.123594391374631,1,1,1,1,0,4,0,1,5,399.90421663146805,4,2,5,4,14.8,3
