Occupation,Sex,Age,Residency_in_Dormitory,Number_of_Family_Members,Parent_Cohabitation_Status,Mother_Education,Father_Education,Mother_Job_Category,Father_Job_Category,Criminal_Records,Legal_Guardian,Average_Sport_Activity_Per_Week,Average_Studying_Per_Week,Average_Grades_Previous_Semester,Having_Scholarship,Financial_Support_Parents,Using_Extracurricular_Classes,Having_Extracurricular_Activities,History_Mental_Illness,Willingness_to_Studying,History_Physical_Illness,Marital_Status_Relationship,Relationship_Quality_Family,Free_Time_After_Classes,Communication_Quality_Classmates,Alcohol_Consumption_Week,Alcohol_Consumption_Weekend,Number_of_Absences,Average_Student_Final_Grades,Academic_Performance
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,147.56076150312765,30.786574461128264,16.945604458484663,No,Yes,No,Yes,No,High,No,Relationship,Fair,411.6995338572068,Good,Moderate,3,9,15.27,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,147.39891725008204,23.868382508046928,10.949925591598596,No,Yes,No,Yes,No,Moderate,No,Single,Average,308.3702937613078,Average,High,5,5,11.13,Average
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,196.9373590096224,18.070269239185183,16.745866161112946,No,Yes,No,Yes,No,High,No,Relationship,Good,411.2092018568069,Good,Moderate,3,6,15.25,Good
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,46.07038287395415,16.098533464312126,16.973319659265208,Yes,No,No,Yes,No,High,No,Relationship,Poor,403.1939271219497,Good,Moderate,5,3,14.93,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,59.2557517240877,18.61287256361328,12.76944710800432,Yes,Yes,No,Yes,No,Moderate,No,Single,Very Good,320.03429045177194,Average,High,9,6,11.6,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Mother,140.6398729531319,13.905891536461572,10.52504580489822,No,Yes,Yes,No,No,Moderate,No,Single,Average,291.073807703214,Poor,High,2,5,10.44,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,109.10182157659034,1.1620039542478828,14.255249682702429,No,Yes,No,Yes,No,Moderate,No,Single,Fair,315.3275717403112,Average,High,7,4,11.41,Average
Teacher,Female,26,Yes,8,Living Together,PhD+,PhD+,Services,Services,No,Father,201.9973132816692,34.33742328427785,19.056771056002358,Yes,Yes,No,Yes,No,Very High,No,Relationship,Very Good,497.9441541313224,Very Good,Low,3,6,18.72,Very Good
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,116.43831471351524,19.242599993595213,15.675400789184744,No,Yes,Yes,Yes,No,High,No,Relationship,Poor,363.2508890573423,Average,Moderate,6,7,13.33,Average
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,81.13874090652959,21.185178120980297,10.075069971527135,Yes,No,No,No,No,Moderate,No,Single,Very Good,278.4833796471738,Poor,High,9,5,9.94,Bad
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,282.5954138245088,17.53673800098473,16.19308309680224,Yes,No,No,Yes,No,High,No,Relationship,Good,397.90676547715503,Good,Moderate,7,5,14.72,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,164.1956589659425,12.119065594203295,13.126436327382017,Yes,Yes,No,Yes,No,Moderate,No,Single,Good,317.3719510166715,Average,High,8,6,11.49,Average
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,184.72697432815468,16.512604152409835,15.098345568264476,No,Yes,Yes,Yes,No,High,No,Relationship,Good,417.5546128543349,Good,Moderate,1,1,15.5,Good
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,80.26762696505803,5.20484190244551,16.808768420277296,No,Yes,Yes,Yes,No,High,No,Relationship,Fair,382.4176730690231,Good,Moderate,2,5,14.1,Good
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,141.8932092832372,36.21669198442643,14.179368218173336,Yes,Yes,Yes,Yes,No,High,No,Relationship,Poor,402.80237561940754,Good,Moderate,8,2,14.91,Good
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,187.76458127969065,8.123904012620832,17.767807694879703,No,Yes,No,Yes,No,High,No,Relationship,Good,398.9643846892864,Good,Moderate,6,6,14.76,Good
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,99.4304495804388,9.744269729222564,16.665866951799533,No,Yes,No,Yes,No,High,No,Relationship,Average,379.2529666258246,Average,Moderate,6,5,13.97,Average
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,206.29886128419705,14.477926364908797,15.380880080222129,No,Yes,No,Yes,No,High,No,Relationship,Poor,391.3440973296133,Good,Moderate,3,2,14.45,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,137.95529170568363,28.30460579881902,9.809513789988218,No,No,Yes,Yes,No,Moderate,No,Single,Good,327.5297909325012,Average,High,0,3,11.9,Average
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,159.58143751447062,18.116071994101237,18.031389330938826,Yes,Yes,Yes,Yes,No,High,No,Relationship,Poor,421.0547623884465,Good,Moderate,7,5,15.64,Bad
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,137.8805371439422,8.1109136317563,19.230867023837792,No,Yes,No,Yes,No,Very High,No,Relationship,Very Good,437.49398837601166,Good,Low,9,3,16.3,Good
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,309.65947291562566,28.034706886058714,9.643581485711538,Yes,Yes,Yes,No,No,Moderate,No,Single,Average,266.8167070648385,Poor,High,8,10,9.47,Bad
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,179.05519426834462,23.84800501428385,13.858893553201169,Yes,No,No,Yes,No,High,No,Single,Extremely Poor,338.7479739089512,Average,Moderate,3,8,12.35,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,105.96023497308695,22.30747965773162,11.106664903646054,No,Yes,Yes,Yes,Yes,Moderate,No,Single,Good,329.77871469790085,Average,High,0,4,11.99,Average
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,237.57814384722323,23.725873929366724,17.054279689106774,No,Yes,Yes,Yes,No,High,No,Relationship,Average,400.7880470565443,Good,Moderate,8,8,14.83,Good
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,94.54094450202844,37.15489520465961,16.6595556320564,Yes,Yes,No,Yes,No,Very High,No,Relationship,Fair,456.6321033721632,Good,Low,4,3,17.07,Very Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,194.62045165033288,35.4807591602889,9.690621446844784,No,Yes,Yes,Yes,No,Moderate,No,Single,Very Good,323.3706770932973,Average,High,5,5,11.73,Average
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,42.8230913284157,12.506277255973638,18.52432725513965,Yes,Yes,No,Yes,No,Very High,No,Relationship,Good,447.8232000666052,Good,Low,1,4,16.71,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,87.02697657710986,30.99107994248922,10.171676767736027,Yes,Yes,No,Yes,No,Moderate,No,Single,Extremely Poor,306.8833296804729,Average,High,4,4,11.08,Average
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,193.78028651083864,21.065345518071204,17.56710830777729,No,Yes,Yes,Yes,No,Very High,No,Relationship,Very Good,449.3337710758032,Good,Low,0,6,16.77,Good
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,231.69266059967876,21.992766529102,13.483764315536058,Yes,No,No,Yes,No,High,No,Single,Average,333.78981456232344,Average,Moderate,2,10,12.15,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,191.99577968329797,4.461833346853371,11.939267522697817,No,Yes,No,Yes,No,Moderate,No,Single,Very Good,318.7601770882406,Average,High,0,4,11.55,Average
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,171.90462023282316,16.636913876894432,9.898871152090562,No,Yes,Yes,No,No,Moderate,No,Single,Average,274.0608808963848,Poor,High,0,8,9.76,Bad
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,158.92274130874978,11.49741127730748,10.011371073759552,Yes,Yes,Yes,No,No,Moderate,No,Single,Poor,234.59589443570164,Poor,High,8,8,8.18,Bad
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,76.50346067428008,24.624470519146477,15.942686656410803,Yes,Yes,No,Yes,No,High,No,Relationship,Good,401.63222494392807,Good,Moderate,5,6,14.87,Good
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,129.6109054123704,26.56864400322244,14.605164655365446,No,Yes,No,Yes,Yes,High,No,Relationship,Extremely Poor,356.9312390580614,Average,Moderate,7,5,13.08,Average
Student,Male,20,No,4,Separated,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,147.7552860328149,1.4041091918695088,9.465025059814792,No,No,Yes,No,No,Low,Yes,Single,Fair,229.9979375111733,Poor,Very High,4,5,8.0,Bad
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,253.9985558353241,17.823721087965836,9.352374325259902,No,No,No,No,Yes,Moderate,No,Single,Poor,230.72403707269189,Poor,High,8,7,8.03,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Mother,204.0532802697923,26.974892038354017,8.867726897273497,No,Yes,Yes,No,No,Moderate,No,Single,Good,292.467909876031,Poor,High,3,5,10.5,Bad
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,56.58718912460863,16.50656830149244,16.925208168482527,No,Yes,No,Yes,Yes,High,No,Relationship,Extremely Poor,362.0837999254868,Average,Moderate,9,6,13.28,Average
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,202.6858778576357,23.832509160018915,16.54258502275147,No,No,No,Yes,No,High,No,Relationship,Poor,377.3115205361851,Average,Moderate,7,8,13.89,Average
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,153.04424037085784,20.809323741016676,8.701171890254901,No,Yes,No,No,No,Moderate,No,Single,Extremely Poor,234.49062504044173,Poor,High,5,7,8.18,Bad
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,132.6154599785829,20.73328185562101,14.723240907163676,Yes,Yes,No,Yes,No,High,No,Relationship,Very Good,364.9886422324792,Average,Moderate,9,6,13.4,Average
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,222.81734021886075,15.82948017545362,9.01611386291228,No,Yes,Yes,No,No,Moderate,No,Single,Extremely Poor,245.74566076932496,Poor,High,4,6,8.63,Bad
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,252.16996657471657,8.267353566914323,18.844949247307294,No,Yes,No,Yes,No,High,No,Relationship,Poor,429.2439850935872,Good,Moderate,4,4,15.97,Good
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,245.1896083381339,9.02775882059978,18.88540903016159,Yes,Yes,No,Yes,No,Very High,No,Relationship,Poor,454.7427425551141,Good,Low,2,2,16.99,Good
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,121.2547733744153,23.67482011564254,16.37879587775756,Yes,Yes,Yes,Yes,No,Very High,No,Relationship,Good,432.0325188515965,Good,Low,3,4,16.08,Good
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,158.355133690415,18.155666044151065,19.1142670572734,Yes,Yes,No,Yes,Yes,Very High,No,Relationship,Poor,446.1140096260826,Good,Low,9,2,16.64,Good
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,203.18844019824948,16.891902043142203,17.73743636496429,No,Yes,No,Yes,No,High,No,Relationship,Very Good,422.2163446930661,Good,Moderate,4,7,15.69,Good
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,248.28815889856517,14.60887966142118,17.942462911124593,No,No,No,Yes,No,High,No,Relationship,Good,427.85099493057845,Good,Moderate,8,3,15.91,Good
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,146.4578033508297,15.558489236153983,14.836494206839198,No,Yes,No,Yes,No,High,No,Relationship,Extremely Poor,356.7927488120426,Average,Moderate,9,2,13.07,Average
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,167.0038716335328,26.375294355905115,11.672710378594113,No,No,No,Yes,No,High,No,Single,Poor,331.48035932684604,Average,Moderate,2,4,12.06,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,102.55655181957805,15.318047345055788,10.61358938139706,No,Yes,No,No,No,Moderate,No,Single,Good,295.3125863323128,Average,High,4,4,10.61,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,96.26553631435304,7.27148229358745,11.92640026446715,No,No,No,No,No,Moderate,No,Single,Good,298.0530908118256,Average,High,8,2,10.72,Bad
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,236.87680756759383,23.949214204321382,15.541945161068744,No,Yes,Yes,Yes,No,High,No,Relationship,Fair,407.136895580718,Good,Moderate,0,6,15.09,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Mother,274.9368019999576,16.360986689082264,10.071878429988788,No,Yes,No,No,No,Moderate,No,Single,Good,290.21381433475244,Poor,High,4,5,10.41,Very Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,174.95929148937662,18.25116692426221,11.10368283964786,No,Yes,Yes,Yes,No,Moderate,No,Single,Good,320.4730375631576,Average,High,3,4,11.62,Average
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,250.2473028524417,30.860626451196083,13.616730353545574,No,No,Yes,Yes,No,High,No,Relationship,Fair,388.770928624883,Good,Moderate,0,5,14.35,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,205.3145217533344,17.835515541195942,10.796601182295388,No,Yes,No,Yes,No,Moderate,No,Single,Average,318.1372691350242,Average,High,0,4,11.53,Average
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,134.8416171776413,20.3134693849498,15.06372403659274,No,No,No,Yes,No,High,No,Relationship,Very Good,403.6749793348355,Good,Moderate,6,1,14.95,Good
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,205.29769238558896,8.568612069613398,19.07811234147596,No,No,No,Yes,No,High,No,Relationship,Poor,424.2672704245076,Good,Moderate,5,4,15.77,Good
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,287.66255965261786,16.24264438119232,16.977072388437517,No,Yes,No,Yes,No,High,No,Relationship,Fair,398.3178477898112,Good,Moderate,0,9,14.73,Good
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,177.4921772623034,22.87620836166881,15.997119369786956,No,Yes,Yes,Yes,No,High,No,Relationship,Good,415.51940755802735,Good,Moderate,3,5,15.42,Good
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,289.52505590698047,5.557010129270061,14.992657711805345,No,No,Yes,Yes,No,High,No,Relationship,Good,358.26979219538816,Average,Moderate,6,4,13.13,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,0.0,19.60676074492568,13.85537491108478,No,Yes,Yes,Yes,No,Moderate,No,Single,Poor,320.59886038364067,Average,High,5,8,11.62,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Mother,237.5331753062657,18.80632858115845,10.238766315615916,Yes,Yes,Yes,No,No,Moderate,No,Single,Very Good,291.7525492143729,Poor,High,9,5,10.47,Bad
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,186.093294776672,18.330299644699515,18.736525465122387,No,Yes,No,Yes,No,Very High,No,Relationship,Extremely Poor,437.7058736214792,Good,Low,1,6,16.31,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,159.06948546738928,26.297271189265945,10.982432024154036,No,Yes,No,Yes,No,Moderate,No,Single,Fair,320.1268895488111,Average,High,8,2,11.61,Average
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,186.42325435748515,20.675508118788173,9.095706530937928,Yes,Yes,No,No,No,Moderate,No,Single,Average,260.4440887164179,Poor,High,9,5,9.22,Bad
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,40.87017597793749,29.824575186851558,17.000182150744344,No,Yes,Yes,Yes,No,Very High,No,Relationship,Poor,432.1975358470331,Good,Low,2,5,16.09,Good
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,164.62296785137417,10.05128387524771,10.107386411973996,No,Yes,Yes,No,No,Moderate,No,Single,Poor,277.38564492315754,Poor,High,1,4,9.9,Bad
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,204.99788000582225,19.087396537746784,12.462751994494113,No,Yes,No,Yes,No,High,No,Single,Fair,354.06381847117694,Average,Moderate,0,3,12.96,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Mother,283.4525831319061,18.67573429111958,8.339419139491756,Yes,Yes,No,No,No,Moderate,No,Single,Good,280.323098470524,Poor,High,2,4,10.01,Bad
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,143.7210847208447,9.44596404995936,9.644815310485376,No,Yes,No,No,No,Moderate,No,Single,Good,257.25694357462595,Poor,High,5,5,9.09,Bad
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,123.40544779747688,25.65036001673077,10.078443569118946,No,Yes,Yes,No,No,Moderate,No,Single,Average,271.6524183221362,Poor,High,9,7,9.67,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,144.87700694908244,36.59738644682254,8.652921533002136,No,Yes,Yes,Yes,No,Moderate,No,Single,Fair,306.91205112744075,Average,High,0,5,11.08,Average
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,244.0781482391452,17.863951404129352,15.879883479474142,No,Yes,No,Yes,No,High,No,Relationship,Poor,377.8830265075087,Average,Moderate,1,8,13.92,Average
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,203.0125776761779,22.040168706190137,18.04409354963741,No,Yes,No,Yes,No,Very High,No,Relationship,Fair,432.5250888224807,Good,Low,8,4,16.1,Good
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,142.91678573630728,18.676147806522614,12.479784876391292,Yes,Yes,No,Yes,No,High,No,Single,Extremely Poor,333.1046414814056,Average,Moderate,0,5,12.12,Average
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,215.92872031793493,12.291322640742592,18.49491772061841,No,Yes,No,Yes,No,Very High,No,Relationship,Poor,461.3956197148276,Good,Low,0,1,17.26,Very Good
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,186.7954284543628,3.4339177775838703,10.560158894721518,No,No,Yes,No,Yes,Moderate,No,Single,Average,242.99989980317477,Poor,High,8,5,8.52,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,247.80514933730225,12.353812135237078,11.904685082734874,No,Yes,No,No,No,Moderate,No,Single,Average,303.7782034403607,Average,High,2,7,10.95,Bad
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,130.85628342858533,6.86433295238615,9.80884391637402,No,Yes,Yes,No,No,Moderate,No,Single,Poor,256.79138345956665,Poor,High,5,3,9.07,Bad
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,157.06364973815622,31.632816624472945,15.446710345027984,Yes,Yes,No,Yes,No,High,No,Relationship,Good,421.2423926724663,Good,Moderate,2,6,15.65,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,152.55242928074898,17.079122448614086,13.038435090443684,No,Yes,No,Yes,No,Moderate,No,Single,Poor,305.4104443372758,Average,High,1,10,11.02,Average
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,77.55395363075169,15.232645367622634,15.359400162102784,No,Yes,No,Yes,No,High,No,Relationship,Poor,376.0706806286427,Average,Moderate,2,4,13.84,Average
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,200.72841939452036,25.113230598302447,17.140098864730202,No,Yes,Yes,Yes,No,High,No,Relationship,Extremely Poor,406.5905086106267,Good,Moderate,9,5,15.06,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,198.27386905259223,9.025991177152896,14.548436192395382,No,Yes,Yes,Yes,No,Moderate,No,Single,Poor,327.9460616694352,Average,High,3,8,11.92,Average
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,180.35794196497227,11.86508769596358,15.531564258821454,No,No,No,Yes,No,High,No,Relationship,Very Good,377.5847658147815,Average,Moderate,0,7,13.9,Average
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,163.57890066373972,18.54457815398897,19.223003772732,Yes,No,No,Yes,No,Very High,No,Relationship,Very Good,438.5774156054656,Good,Low,2,10,16.34,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,80.92404805647101,26.230151931387844,11.588771715306118,No,Yes,No,Yes,No,Moderate,No,Single,Fair,327.14169442189865,Average,High,6,3,11.89,Average
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,150.55482740642486,22.013480361350304,12.309967263607437,Yes,Yes,No,Yes,No,High,No,Single,Fair,342.8052959766951,Average,Moderate,1,5,12.51,Average
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,156.00998384312612,19.986601140127057,16.612440340512045,Yes,Yes,Yes,Yes,No,High,No,Relationship,Average,390.8691533203345,Good,Moderate,6,8,14.43,Good
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,123.84059115448667,18.62494188188813,15.33566620466464,Yes,Yes,No,Yes,No,High,No,Relationship,Good,386.4107535435667,Good,Moderate,3,6,14.26,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Mother,168.71000018337935,21.2018868442142,10.142394854476578,No,Yes,No,No,Yes,Moderate,No,Single,Average,280.18134980451407,Poor,High,6,5,10.01,Bad
